ID,Name,Description,Tree_Is_Rooted,Tree_Type,Tree_Branch_Length_Unit,Media_ID,Source
STATE_466,STATE_466,bayesian,,sample,,posterior,
STATE_467,STATE_467,bayesian,,sample,,posterior,
STATE_468,STATE_468,bayesian,,sample,,posterior,
STATE_469,STATE_469,bayesian,,sample,,posterior,
STATE_470,STATE_470,bayesian,,sample,,posterior,
STATE_471,STATE_471,bayesian,,sample,,posterior,
STATE_472,STATE_472,bayesian,,sample,,posterior,
STATE_473,STATE_473,bayesian,,sample,,posterior,
STATE_474,STATE_474,bayesian,,sample,,posterior,
STATE_475,STATE_475,bayesian,,sample,,posterior,
STATE_476,STATE_476,bayesian,,sample,,posterior,
STATE_477,STATE_477,bayesian,,sample,,posterior,
STATE_478,STATE_478,bayesian,,sample,,posterior,
STATE_479,STATE_479,bayesian,,sample,,posterior,
STATE_480,STATE_480,bayesian,,sample,,posterior,
STATE_481,STATE_481,bayesian,,sample,,posterior,
STATE_482,STATE_482,bayesian,,sample,,posterior,
STATE_483,STATE_483,bayesian,,sample,,posterior,
STATE_484,STATE_484,bayesian,,sample,,posterior,
STATE_485,STATE_485,bayesian,,sample,,posterior,
STATE_486,STATE_486,bayesian,,sample,,posterior,
STATE_487,STATE_487,bayesian,,sample,,posterior,
STATE_488,STATE_488,bayesian,,sample,,posterior,
STATE_489,STATE_489,bayesian,,sample,,posterior,
STATE_490,STATE_490,bayesian,,sample,,posterior,
STATE_491,STATE_491,bayesian,,sample,,posterior,
STATE_492,STATE_492,bayesian,,sample,,posterior,
STATE_493,STATE_493,bayesian,,sample,,posterior,
STATE_494,STATE_494,bayesian,,sample,,posterior,
STATE_495,STATE_495,bayesian,,sample,,posterior,
STATE_496,STATE_496,bayesian,,sample,,posterior,
STATE_497,STATE_497,bayesian,,sample,,posterior,
STATE_498,STATE_498,bayesian,,sample,,posterior,
STATE_499,STATE_499,bayesian,,sample,,posterior,
STATE_500,STATE_500,bayesian,,sample,,posterior,
STATE_501,STATE_501,bayesian,,sample,,posterior,
STATE_502,STATE_502,bayesian,,sample,,posterior,
STATE_503,STATE_503,bayesian,,sample,,posterior,
STATE_504,STATE_504,bayesian,,sample,,posterior,
